epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,221.958,6.55543,2e-05,0.00039,9.69651,0.009996,0.003332,0.009996,0.003332,0.009996,0.003332,0.009996,0.003332
2,440.768,2.60261,6e-05,0.00078,12.4551,0.0196001,0.00653336,0.0196001,0.00653336,0.0196001,0.00653336,0.0196001,0.00653336
3,682.961,1.83505,0.00023,0.00088,13.7178,0.0288082,0.00960272,0.0288082,0.00960272,0.0288082,0.00960272,0.0288082,0.00960272
4,928.094,1.47822,8e-05,0.00088,13.8351,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1173.55,1.07808,0.00016,0.00099,14.2539,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1419.32,0.90287,2e-05,0.00095,14.3421,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1660.81,0.7963,4e-05,0.00086,14.496,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1905.31,0.72733,6e-05,0.00095,14.529,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2147.97,0.67517,8e-05,0.00107,14.5604,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2393.83,0.63398,0.00019,0.00117,14.5692,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2641.3,0.60066,0.00027,0.00119,14.5664,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2889.75,0.5726,0.00035,0.00125,14.5614,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3138.65,0.55273,0.00031,0.00134,14.5815,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3384.77,0.52675,0.00039,0.00136,14.5426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3631.19,0.50832,0.00039,0.00152,14.5217,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3879.09,0.48676,0.00039,0.00152,14.4921,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4127.14,0.46603,0.00033,0.0014,14.4749,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4376.17,0.45369,0.00029,0.00134,14.442,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4623.5,0.43327,0.00031,0.00136,14.4047,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4869.08,0.41961,0.00029,0.00134,14.3747,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5114.88,0.40302,0.00027,0.00134,14.3389,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5362.66,0.38952,0.00025,0.00121,14.3126,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5608.91,0.37379,0.00027,0.00123,14.2647,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5854.42,0.36309,0.00027,0.00121,14.244,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,6102.72,0.34843,0.00027,0.00132,14.2317,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
